Name,Gender,Month,Year,Family Background,Product Name,Product Type,Price,Shop Name,Brands,Mode of Payment,Occupation,Salary,Net Worth,Education,State,City
Austin Haas,Female,February,1985,Middle Class,sound,Household,35.33,"Schroeder, Brown and Rios",Brand D,Debit Card,Bonds trader,85757.19,5358205.67,PhD,Ohio,Beckermouth
Diana Hanson,Female,July,2021,Middle Class,although,Grocery,190.51,"Evans, Collins and Gillespie",Brand C,Credit Card,Youth worker,136971.11,6165258.0,Bachelor,Idaho,West Ricky
Joseph Phelps,Female,July,1990,Middle Class,else,Personal Care,167.81,Brown-Allen,Brand B,Debit Card,Agricultural engineer,95744.63,8982360.22,High School,North Dakota,Alexanderberg
Eric Becker,Female,June,2013,Upper Middle Class,population,Personal Care,95.51,"Oneal, Vaughan and Holt",Brand D,Cash,"Scientist, audiological",120213.21,8414642.59,PhD,Colorado,Colleenhaven
Timothy Benton,Female,December,1975,Middle Class,democratic,Personal Care,155.5,May-Schroeder,Brand B,Credit Card,Broadcast journalist,92555.98,6304809.53,PhD,North Dakota,Mcclurefurt
Jennifer Benitez,Female,March,2015,Upper Class,avoid,Household,93.58,Blanchard LLC,Brand B,Debit Card,Toxicologist,115625.38,2421486.42,Bachelor,Nebraska,New Aaron
Kathleen Davis,Female,September,2001,Middle Class,miss,Personal Care,70.74,"Banks, Barnett and Stein",Brand A,Debit Card,"Horticulturist, commercial",94818.27,1469903.21,Master,Colorado,Port Alex
Sharon Garza,Male,May,1986,Upper Middle Class,use,Household,82.78,"Jones, Jennings and Short",Brand C,Debit Card,"Conservation officer, nature",48336.63,2218133.48,PhD,Maine,New Richardville
Amy Chen,Female,December,1982,Middle Class,chance,Electronics,87.44,Jimenez LLC,Brand A,Credit Card,Garment/textile technologist,95113.34,4216164.92,High School,West Virginia,East Beverly
William Jackson,Male,July,1972,Upper Class,west,Electronics,168.25,Herring-Morgan,Brand D,Credit Card,Insurance account manager,76737.22,7720978.15,Master,Arkansas,East Stevenport
James Shah,Male,December,2006,Middle Class,campaign,Electronics,172.78,Murillo PLC,Brand B,Credit Card,"Conservator, museum/gallery",121871.35,3865772.19,Bachelor,Alabama,West Williamburgh
Mark Donaldson,Male,July,2021,Upper Class,community,Grocery,189.12,Clayton Ltd,Brand C,Cash,"Administrator, charities/voluntary organisations",65833.52,3960867.82,PhD,Rhode Island,New Michael
Rebecca Jordan,Female,March,2020,Upper Middle Class,company,Grocery,112.26,"Dennis, Aguilar and Johnson",Brand A,Debit Card,Health and safety adviser,118156.09,8018694.89,High School,Louisiana,Lake Donnachester
Rickey Taylor,Male,June,1992,Middle Class,series,Household,102.76,Mathis and Sons,Brand C,Credit Card,Social worker,62752.24,4907855.74,High School,New Hampshire,Lake Richardport
James Guzman,Female,February,1997,Middle Class,entire,Electronics,73.86,"Pineda, Smith and Hopkins",Brand C,Debit Card,Clothing/textile technologist,111497.03,4102735.02,High School,Tennessee,Adamsmouth
Edward Yang,Male,September,1992,Upper Middle Class,usually,Grocery,169.7,Patterson-Vazquez,Brand D,Cash,"Librarian, public",140344.99,9809147.58,High School,South Dakota,East Sue
Jessica Wong,Male,April,1971,Upper Middle Class,magazine,Grocery,182.32,Cruz Inc,Brand D,Debit Card,Homeopath,101027.13,6663697.59,High School,Iowa,Geraldton
Alicia Sexton,Male,June,1971,Upper Middle Class,computer,Electronics,132.12,Hernandez PLC,Brand C,Credit Card,"Scientist, water quality",46283.94,4670814.6,PhD,Oregon,North Daniel
Mr. Richard Grant,Male,July,1975,Upper Middle Class,ago,Grocery,59.43,"Harris, Henderson and Burns",Brand C,Cash,Social worker,69282.32,4601523.32,Master,Utah,Lake Nicholasmouth
Lauren Walker,Female,February,1986,Middle Class,yard,Household,154.63,Stewart-Mckee,Brand A,Cash,Audiological scientist,75495.15,7544897.25,PhD,New York,Cindyberg
Sherri Reed,Female,September,1979,Upper Class,article,Personal Care,57.93,Savage Inc,Brand C,Credit Card,"Administrator, education",39828.75,291894.54,PhD,Illinois,Port Jenniferfort
Laura Browning,Male,June,2005,Upper Class,them,Grocery,199.98,"Mccarthy, Long and Thompson",Brand A,Cash,Computer games developer,71995.24,6536426.52,Master,Illinois,New Veronicafurt
Mason Castro,Male,March,2013,Middle Class,action,Household,153.3,Craig and Sons,Brand B,Debit Card,Energy engineer,143953.41,2073670.76,Master,Virginia,Ruizside
Cynthia Olsen,Male,May,1996,Middle Class,space,Household,128.05,Wells-Kim,Brand C,Credit Card,Museum/gallery curator,58625.39,4788254.5,PhD,Virginia,Johnsonshire
Jacqueline Perez,Male,October,2012,Upper Class,though,Electronics,117.15,"Price, Graves and Young",Brand C,Credit Card,Recruitment consultant,56155.74,7024703.22,Master,Florida,West Chadmouth
Carlos Jacobson,Female,December,1978,Upper Class,huge,Electronics,41.88,Long and Sons,Brand D,Cash,Clinical biochemist,102869.7,7504463.95,PhD,Pennsylvania,Barbaraside
Alejandra Welch,Male,February,2007,Upper Middle Class,remain,Grocery,157.78,"Walker, Howard and Cameron",Brand D,Cash,Barrister,49651.9,3179285.3,High School,Illinois,Lake Victoria
Eric Lowe,Male,October,1993,Upper Class,home,Grocery,186.49,Carroll Ltd,Brand B,Cash,Wellsite geologist,99095.61,9089458.9,Bachelor,Montana,Samanthaville
Nancy Robbins,Female,June,2022,Middle Class,occur,Grocery,85.36,"Smith, Matthews and Fernandez",Brand B,Debit Card,IT technical support officer,115801.76,852365.13,Master,New Jersey,New Brenda
Ashley Duncan,Male,June,1982,Upper Middle Class,hold,Electronics,29.36,Brown Inc,Brand D,Credit Card,Advertising copywriter,122697.71,8517903.07,High School,Wyoming,Jameschester
Wendy Moore,Male,November,2023,Middle Class,social,Household,161.28,Huff-Lewis,Brand C,Credit Card,Theatre stage manager,97911.91,506584.39,Master,West Virginia,Buchananside
Miranda Klein,Female,September,1979,Upper Middle Class,we,Personal Care,135.69,Jackson-Gould,Brand C,Cash,"Teacher, primary school",38274.81,6510678.22,PhD,Iowa,South Samuel
Tiffany Kim,Male,March,1997,Upper Middle Class,sound,Household,171.42,Tran Group,Brand B,Credit Card,Dancer,128679.71,1144834.82,Master,North Carolina,Ericside
Matthew Baker,Female,September,2012,Upper Class,sell,Electronics,130.76,"Houston, Dominguez and Salas",Brand B,Credit Card,Art gallery manager,129444.88,7102355.57,High School,Alabama,Millermouth
Sarah Johnson,Female,November,2015,Upper Class,international,Household,43.47,Mcintosh-Bridges,Brand B,Cash,Occupational therapist,92609.61,6539528.4,Master,Colorado,West Aaron
Brittany Colon,Female,November,1987,Upper Class,coach,Personal Care,98.33,"Beck, Hall and Simmons",Brand A,Debit Card,"Engineer, maintenance",129088.15,5965498.73,High School,Maine,South Angela
Cathy Allen,Female,April,1979,Upper Class,responsibility,Household,171.83,"Carpenter, Black and Sweeney",Brand C,Debit Card,Police officer,129687.72,957962.69,PhD,Vermont,Myersport
Tara Johnson,Female,August,1995,Upper Class,beat,Electronics,56.33,Miller Group,Brand C,Credit Card,Agricultural consultant,85765.02,6142283.87,Master,Florida,Lake Katherineborough
James Gonzalez,Female,September,1989,Middle Class,nature,Grocery,73.92,Crosby LLC,Brand D,Credit Card,Archaeologist,89316.78,3317640.26,Bachelor,Vermont,Stacyville
